source_id,rank,name,provider,official_url,geography,data_type,access_method,license,cost_model,update_frequency,freyria_module,dashboard_widget,mvp_priority,approval_status,attribution_required,risk_level,notes
danmarks_arealinformation,1,Danmarks Arealinformation,Danmarks Arealinformation,https://miljoeportal.dk/en/danmarks-miljoeportal-s-systems/danmarks-arealinformation/,Denmark,"Areal, nature protection, environmental layers",Portal; WMS/WFS/WMTS; export,Public/open; verify per layer,free_or_open_low_cost,Varies,Map Intelligence; DecisionsIQ,Areal status; protected layers,High,proposed,True,low,First Danish map-layer connector for municipality-facing demos
danmarks_naturdata_naturdatabasen,2,Danmarks Naturdata / Naturdatabasen,Danmarks Naturdata,https://miljoeportal.dk/en/danmarks-miljoeportal-s-systems/danmarks-naturdata/,Denmark,"Nature registrations, species, habitat/field data",Web; export; API to clarify,Public data; login may be required for full access,free_or_open_low_cost,Continuous,Map Intelligence; Impact Exchange,Nature baseline and development,High,proposed,True,medium,Use as Danish baseline source; communicate observation bias
dmi_open_data,3,DMI Open Data,DMI Open Data,https://www.dmi.dk/friedata/dmi-open-data/,Denmark; Greenland,"Weather, climate, oceanographic observations",REST API; API key,Free API key,free_or_open_low_cost,Frequent/near-real-time depending endpoint,SmartConnect; DecisionsIQ,Weather and climate context,High,approved_for_discovery,True,low,First weather connector; requires key governance
copernicus_data_space_ecosystem,4,Copernicus Data Space Ecosystem,Copernicus Data Space Ecosystem,https://dataspace.copernicus.eu/,EU; Global,Sentinel EO imagery; optical; SAR,Browser; API; STAC; openEO ecosystem,Free/open,free_or_open_low_cost,High frequency by mission,Map Intelligence; SmartConnect,NDVI; NDWI; land cover; change detection,High,approved_for_discovery,True,low,Core remote sensing backbone
satlas_2_0,5,Satlas 2.0,Satlas 2.0,https://www.satlas.dk/,Denmark,Analysis-ready satellite layers; NDVI; LST; soil moisture,Portal; API access to clarify,Free/public,free_or_open_low_cost,Varies by product,Map Intelligence; ISEN field layer,DK vegetation and field intelligence,High,proposed,True,medium,Strong DK demo value
gbif_danbif,6,GBIF / DanBIF,GBIF,https://www.gbif.org/developer/summary,Global; Denmark,Species occurrence; datasets; checklists,GBIF API; download,Varies by dataset; often CC-BY/CC-BY-NC,free_or_open_low_cost,Continuous publisher updates,SmartConnect; Map Intelligence,Species occurrence layer,High,approved_for_discovery,True,medium,Use TDWG/Darwin Core mapping
natura_2000_eea,7,Natura 2000 / EEA,Natura 2000,https://www.eea.europa.eu/data-and-maps/data/natura-14,EU,Protected areas; habitats; species,WMS; REST; download,CC-BY 4.0 for relevant EEA datasets,free_or_open_low_cost,Typically annual,Map Intelligence; ESG Ledger,Protected-area proximity,High,approved_for_discovery,True,low,Strong TNFD Locate/Evaluate and project-screening layer
eea_datahub_indicators,8,EEA Datahub / Indicators,EEA Datahub,https://www.eea.europa.eu/en/datahub,EU,Environmental indicators; climate; water; land; biodiversity,Datahub; downloads; APIs vary,Free/open,free_or_open_low_cost,Varies,DecisionsIQ; ESG Ledger,EU indicator benchmark,High,approved_for_discovery,True,low,Use for reporting context rather than local proof
eurostat_api,9,Eurostat API,Eurostat API,https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-introduction,EU,Statistics; ESG context; socio-economic indicators,REST; SDMX; JSON-stat,Free,free_or_open_low_cost,Frequent catalog/API updates,SmartConnect; DecisionsIQ; ESG Ledger,ESG benchmark,High,approved_for_discovery,True,low,Low-friction official EU benchmark source
soilgrids,10,SoilGrids,SoilGrids,https://soilgrids.org/,Global,Soil properties; 250m; uncertainty,REST API,Free,free_or_open_low_cost,Model/version dependent,Map Intelligence; DecisionsIQ,Soil property and uncertainty widget,High,approved_for_discovery,True,low,Good fast soil baseline; not a field measurement
eea_waterbase_water_quality_icm,11,EEA Waterbase - Water Quality ICM,EEA Waterbase - Water Quality ICM,https://www.eea.europa.eu/data-and-maps/data/waterbase-water-quality-icm-2,Europe,Water quality; quantity; emissions,Download; DISCODATA,Free/open,free_or_open_low_cost,Periodic,ESG Ledger; Map Intelligence,Water quality trends,Medium,approved_for_discovery,True,low,V2 for EU water monitoring and benchmark
ipcc_emission_factor_database_ghg_protocol,12,IPCC Emission Factor Database / GHG Protocol,IPCC Emission Factor Database,https://ghgprotocol.org/standards-guidance,Global,Emission factors; GHG methods,Web/download,Free,free_or_open_low_cost,Periodic,ESG Ledger; DecisionsIQ,Scope 1-3 calculator,High,approved_for_discovery,True,low,Version emission factors and calculation logic
